Identifiers: at least one of these fields is mandatory. @en is not mandatory! If the @ar  is available use this across tables. Include (YYYY-YYYY) for omonyms						Current or  last known	Either a prior one  or dual citizenship	year (YYYY) or date (DD/MM/YYYY) are in alternative Fill the district only if Palestine					year (YYYY) or date (DD/MM/YYYY) are in alternative Fill the district only if Palestine.								Relation to table Literary events 		Relatives  (only people recorded in a row)		use the separator ; for multiple values  (please copy & paste to avoid typos)			include acquaintances		free-text (public)	free-text: sources  and links (public)	free-text: sources and links (private)	any other note (private)
VIAF	Name @en	Name @ar	Pen names	Gender	Religion	Country of citiz. 	Country of citiz. (2)	Birth  date	Birth year	Birth city	Birth district	Birth country	Death  date	Death year	Death city	Death district	Death country	Manner of death	Cause of death	Literary  movement	Literary event	Relation  to event	Mother	Father	Siblings	Spouses	Children	Friends	Influenced by person	Biography	Sources public	Sources private	Other notes
310741930		العقرباوي, حمزة		Male	Islam	Palestine		19/07/1984		Nablus		Palestine									L4007; L4008; L4009; L4014; L4017; L4018	participated in	ديريّة, سميرة	ديريّة, أسامة	أسماء؛ عبد الرحمن؛ شيماء؛ براء	ديريةّ, نقاء	أسامة؛ زيد؛ سلمى	كناعنة, شريف؛ حليحلة, سيرين؛ شلش, بلال	كناعنة, شريف؛ البرغوثي, عبد اللطيف		https://www.palinfo.com/news/2016/12/8/حمزة-العقرباوي-المؤرخ-الشاب-والحكواتي-المتجول	Interview with Hamza Aqrabawi	
		الترتير, عادل		Male	Islam	Palestine		14/08/1951		Rafat		Palestine									L4002	hosted by		أبو عدنان, جميل				عشراوي, إميل؛ تماري, فيرا؛ أبو سالم, فرانسوا؛ الكرد, مصطفى؛ البرغوثي, أنيس			https://www.24fm.ps/ar/program/1489501915		
308274489		طافش, كفاح		Male	Islam	Palestine		02/04/1984		Nablus		Palestine									L4003; L4004	participated in			لؤي	حمدان, آسيا	عماد		حكمت, ناظم; معلوف, أمين; منيف, عبد الرحمن; ماركيز, غابرييل			Interview with Kifah Tafish	
96966880		الكرمي, سعيد		Male	Islam	Palestine			1852	Tulkarm		Palestine		1935	Tulkarm		Palestine	Natural									أحمد شاكر; حسن; سعيد; محمود	النشاشيبي, راغب			https://www.aljazeera.net/encyclopedia/icons/2017/11/9/سعيد-الكرمي-شيخ-القضاة-ووالد-الأدباء		
297794961	Salah, Raid	صلاح, رائد		Male	Islam	Palestine		10/11/1958		Umm Al-Fahm		Israel									L4005	hosted by									https://www.aljazeera.net/encyclopedia/icons/2011/5/9/رائد-صلاح		
	Assad, Denes	أسعد, دنيس		Female	Christianity	Palestine		14/04/1958		Nazareth		Palestine											جبران, إلين	جبران, ميخائيل	جلال;عنان; سوسون	أسعد, أسعد	أمير; نيسان; تامر					Interview with Denes Assad	
		النعنع, خالد		Male	Islam	Lebanon		05/02/1982		Beirut		Lebanon									L4009; L4013; L4014; L4015		نعنع, نهيلة	النعنع, جمال	رولا; محسن; عمر	الشريف, رفاه	جمال; دانيال; يوسف	الترتير, عادل; العقرباوي, حمزة; أسعد, دنيس	ابن المقفع, عبد الله		http://alhakawatikhaled.com/	Interview Khaled el Naana	
		الطرايرة, عبد المهدي		Male	Islam	Palestine		25/06/1992		Hebron		Palestine									L4006; L4007; L4008; L4009; L4010; L4011; L4012	participated in	الطرايرة, سارة	الطرايرة, إسماعيل	إياد; مشهور; يوسف; كريم; أحمد; إبراهيم; وفاء; مريم; ولاء; براء			السلمون, نمر; نصار, خليل; العقرباوي, حمزة; صالح, فاطمة الزهراء; الجرتلي, حسن	الجرتلي, حسن			Interview with Abed Tarayra	
		سعيدة, هبة		Female	Islam	Palestine		20/07/1988		Tulkarm		Palestine									L4007; L4008	participated in	عصفور, عفاف	سعيدة, عارف	شادي; فادي; تحرير; شذى			العقرباوي, حمزة; شروف, هلا; بشارات, أحلام; الزقزوق, محمد; البياري, هاني	عاشور, رضوى; البرغوثي, مريد			Interview with Hiba Saida	
		عيسى, محمود		Male	Islam	Palestine		21/05/1968		Anata		Palestine												عيسى, موسى							https://ar.wikipedia.org/wiki/محمود_موسى_عيسى		
308270196		البرغوثي, عبد الله غالب		Male	Islam	Palestine			1972	Kuwait City		Kuwait												البرغوثي, غالب			أسامة; تالا; صفاء				البرغوثي، عبد الله. مهندس على الطريق، ص. 14		
100383786		بسيسو, معين		Male		Palestine			1930	Gaza		Palestine	24/01/1984		London		United Kingdom		Heart attack				الشوا, هدى	توفيق	عابدين; صهيب; سعد; أسامة	البربري, صهباء	توفيق; ريموندا; راحيل	حجازي, يعقوب; حسنين, محمد; المناصرة, عز الدين; ديوب, علي; أبو شريف, بسام; فايز, فايز أحمد; ونوف, سوفر; لاغوما, الكسي; القاسم, سميح; درويش, محمود; الحكيم, توفيق; محمود, عبد الرحيم; يخلف, يحيى; السماوي, شاكر; عامر, منذر; العمري, شوقي; جبران, سالم; أبو نضال, نزيه; عاشور, علي			حجازي, يعقوب. معين بسيسو شاعر فلسطين؛ بسيسو, معين. دفاتر فلسطينية، ص 21		
