Publishing house		Activity years		Places	Fill in only if  Palestine		number, address						Relation to table Literary events 					free-text: sources  and links (private)	free-text: sources  and links (public)		any other note (private)
	دار البيرق العربي للنشر والتوزيع	2007		Al-Bira		Palestine		00 970 059964001								صالح, حسين			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار التعاون			Amman		Jordan															
	دار التعاون العربي	1995		Nablus		Palestine										الجيوسي, محمد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الثائر للنشر والتوزيع	2004		Bethlehem		Palestine		00 970  052838106								أبو حسن, عزمي			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الثقافة للنشر	2000		Tulkarm		Palestine		00 970 2402311								طعمة, كفاية			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الجاحظ			Amman		Jordan															
	دار الجليل			Damascus		Syria															
	دار الجليل للنشر والدراسات والابحاث			Amman		Jordan															
	دار الجندي للنشر	2011		Bayt Hanina		Palestine		00 970 0548059184		https://www.facebook.com/GVPalestine/						جندي, سمير			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started. Won first prize for best Arab book publisher in 2015 - https://www.raialyoum.com/index.php/%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D8%AC%D9%86%D8%AF%D9%8A-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-%D8%A8%D8%A7%D9%84%D9%82%D8%AF%D8%B3-%D8%AA%D8%AD%D8%B5/	
	دار الجندي للنشر والتوزيع	2011		Jerusalem		Palestine		00970 2 234 0035	jundi46@yahoo.com	http://www.for-alquds.org/											
	دار الحداثة			Beirut		Lebanon															
	دار الحرية للطباعة			Baghdad		Iraq															
	دار الحقائق			Beirut		Lebanon															
	دار الحياة			Damascus		Syria															
	دار الخليل			Acre		Israel										أبو دية, حسن			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الدعاء للنشر والتوزيع	2004		Ad Doha		Palestine		00 970 059251150								خميس, وليد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الريان للطباعة والنشر			Nablus		Palestine															
	دار الزاهرة			Ramallah		Palestine															
	دار الزيتون			Nablus		Palestine															
	دار الساقي			London		United Kingdom															
	دار السبيل للصحافة والنشر			Amman		Jordan															
	دار السعيد للنشر والتوزيع	2000		Anata		Palestine		00 970 328470								الحلايقة, فرج			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار السلام	1998		Ramallah		Palestine		00 970 2958393													
	دار الشؤون الثقافية العامة			Baghdad		Iraq															
	دار الشؤون الثقافية العامة			Nicosia		Cyprus															
	دار الشامل للنشر والتوزيع	2012		Nablus		Palestine		00 970 9 234 3625		https://www.facebook.com/shamel.book/											
	دار الشرارة			Beirut		Lebanon															
	دار الشرق الجديد			Beirut		Lebanon															
	دار الشروق للطباعة والنشر	1979		Ramallah		Palestine	نهاية شارع مستشفى رام الله	00 970 2975632	shorokpr@palnet.com							البس, فتحي			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الشروق للطباعة والنشر	2000		Gaza		Palestine		00 970 2952284	shorokpr@palnet.com	https://www.facebook.com/shorokpalestine/						البس, فتحي			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الشروق للنشر والتوزيع			Amman		Jordan															
	دار الشفق للنشر والتوزيع			Jerusalem		Palestine															
	دار الشهداء			Cairo		Egypt															
	دار الشيما للنشر والتوزيع			Ramallah		Palestine													https://alkindi.ideo-cairo.org/agent/95084	Publications by this publisher listed here: https://alkindi.ideo-cairo.org/agent/work_manifestation_publication_by/95084/50	
	دار الشيما للنشر والتوزيع	2007		Beitunya		Palestine		00 970 2956423								البيشاوي, سعيد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الصفوة للنشر والتوزيع	2001		Gaza		Palestine		00 970 2821212								بسيسو, فؤاد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الصوت			Nazareth		Palestine													https://www.nli.org.il/en/books/NNL_ALEPH990018307120205171/NLI	Link from Israeli archive refers to a publication on Palestinian prison literature	
	دار الصياد			Beirut		Lebanon															
	دار الضاد	1932	1975	Aleppo		Syria															
	دار الطلاس			Damascus		Syria															
	دار العشير			Amman		Jordan															
	دار العقيق	1996		Ramallah		Palestine		00 970  2955481								مزعرو, وفاء			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار العلم للملايين			Beirut		Lebanon															
	دار العماد للنشر والتوزيع	2012		Hebron		Palestine	فلسطين - الخليل – شارع واد التفاح الجديد - بجانب موقف دنديس	00 970 2295908	info@dar-alemad.com	http://www.dar-alemad.com/						دنديس, وائل			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار العناة للطباعة والنشر والتوزيع			Ramallah		Palestine															
	دار العودة			Beirut		Lebanon															
	دار العودة للدراسات والنشر			Jerusalem		Palestine															
	دار الغارس			Amman		Jordan															
	دار الغدق للنشر والتوزيع	2017		Kafr Al-Deik		Palestine	كفرالديك, سلفيت	00 970 05 98343837	daralghadaq@gmail.com	https://www.facebook.com/%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D8%BA%D8%AF%D9%82-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-1309774505810054/									https://www.maannews.net/news/887343.html		
	دار الفارابي			Beirut		Lebanon															
	دار الفاروق للنشر	1995		Nablus		Palestine		00 970 0 377969								سماعنة, محمد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الفاروق للنشر والتوزيع			Amman		Jordan															
	دار الفكر			Amman		Jordan															
	دار الفكر العربي	2001		Nablus		Palestine		00 970 2382144								صبح, محمد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الفكر للنشر والتوزيع	2005		Beitunya		Palestine		00 970 059801540								جرادات, حسن			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الفنار العالمية للطباعة والنشر	1998		Bethlehem		Palestine		00 970  0612201   								عليان, عادل			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار القدس			Beirut		Lebanon															
	دار القدس للبحث والتوثيق	2003		Ramallah		Palestine		00 970 2961050								الحاج, فخري			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار القسطل			Jerusalem		Palestine															
	دار القصبة للنوزيع	2007		Al-Bira		Palestine		00 970 2965292											http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار القومية العربية			Cairo		Egypt															
	دار الكاتب			Jerusalem		Palestine												https://books.google.co.uk/books?id=IB6tDQAAQBAJ&pg=PA132&lpg=PA132&dq=%D8%AF%D8%A7%D8%B1+%D8%A7%D9%84%D9%83%D8%A7%D8%AA%D8%A8+%D8%A7%D9%84%D9%82%D8%AF%D8%B3&source=bl&ots=KE9FaeO5iN&sig=ACfU3U251jCfapMc6AjqD1fErBW8r2NzlA&hl=en&sa=X&ved=2ahUKEwiakfWki-3oAhXWi1wKHQNZDBIQ6AEwA3oECAsQKg#v=onepage&q=%D8%AF%D8%A7%D8%B1%20%D8%A7%D9%84%D9%83%D8%A7%D8%AA%D8%A8%20%D8%A7%D9%84%D9%82%D8%AF%D8%B3&f=false			
	دار الكاتب	1995		Ramallah		Palestine		00 970 2952890								الأسعد, أسعد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الكاتب			Beirut		Lebanon															
	دار الكاتب العربي			Cairo		Egypt															
	دار الكتب العربية			Jerusalem		Palestine															
	دار الكرمل	1996		Al-Ram		Palestine		00 970 50352558								سلامة,  أميرة			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الكرمل  للنشر والتوزيع			Amman		Jordan															
	دار الكلمة للنشر والتوزيع			Ramallah		Palestine															
	دار الكلمة للنشر والتوزيع			Gaza		Palestine	الشيخ رضوان بالقرب من مطبخ مهران, غزة	00 970 598877444	dura.atef@gmail.com	https://www.facebook.com/%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D9%83%D9%84%D9%85%D8%A9-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-597277387010318/								https://pulpit.alwatanvoice.com/articles/2020/01/09/510794.html			
	دار الكندي			Amman		Jordan															
	دار الماجد			Al-Bira		Palestine															
	دار الماجد			Ramallah		Palestine															
	دار المأمون للنشر والتوزيع			Amman		Jordan															
	دار المستقبل	1995		Hebron		Palestine		00 970 9925638											http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار المسيرة للصحافة والطباعة والنشر			Beirut		Lebanon															
	دار المشرق			Shafa Amr		Israel															
	دار المعارف			Damascus		Syria															
	دار المنصور			Amman		Jordan															
	دار المواكب			Acre		Israel															
	دار النادر للنشر والتوزيع	1999		Ramallah		Palestine										منصور, نادر			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الناشر	1997		Ramallah		Palestine		00 970 2986387								عبد الهادي, سعد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الناشر العربي	2002		Ramallah		Palestine		00 970 059868914								عبد الله, مازن			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار النسور الصاعدة	1996		Bethlehem		Palestine										الفرارجة, هشام			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار النشر العربي			Tel Aviv		Israel															
	دار النشر كفر قرع			Kafr Qara		Israel															
	دار النمر			Beirut		Lebanon															
	دار النمير			Damascus		Syria															
	دار النهار			Beirut		Lebanon															
	دار النهضة للطباعة والنشر			Cairo		Egypt															
	دار النور للنشر والتوزيع	1999		Ramallah		Palestine		00 970 256465								عيسى, عبد المنعم					
	دار النورس	1996		Gaza		Palestine		00 970 0864607								السبعاوي, عبد الكريم			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الهاني للطباعة والنشر	2004		Gaza		Palestine		00 970 2823030								الشوا, باسم		https://k-tb.com/publishing_house/%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D9%87%D8%A7%D9%86%D9%8A-%D9%84%D9%84%D8%B7%D8%A8%D8%A7%D8%B9%D8%A9-%D9%88%D8%A7%D9%84%D9%86%D8%B4%D8%B1	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار الهدف   			Beirut		Lebanon															
	دار الهدف للصحافة والنشر			Amman		Jordan															
	دار الهدى للطباعة والنشر كريم	1987		Kafr Qara		Israel		00 970 46354114		http://darelhuda.net/									Specialising in children's literature and other educational resources as well as literature.		
	دار الهلال			Cairo		Egypt															
	دار الوسط اليوم للاعلام والنشر			Ramallah		Palestine				https://www.alwasattoday.com/wasat-media-and-publishing											
	دار الوسط للنشر	2009		Ramallah		Palestine		00 970 2974651													
	دار الوليد للنشر والتوزيع			Hebron		Palestine	فلسطين - الخليل - شارع وادي التفاح 	00 970 970 2 2299993		http://www.daralwalid.com									http://www.lailnhar.com/content/%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%AF%D9%86%D8%AF%D9%8A%D8%B3-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A%D8%A9-%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D9%88%D9%84%D9%8A%D8%AF-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9		
	دار الياحور للنشر والتوزيع			Jerusalem		Palestine		00 970 597345347	darilyahor@gmail.com										Publisher in 2019 is listed as having a base in Abu Dis; lends out as well as publishes books; café area		
	دار باب الواد	1965		Ramallah		Palestine		00 970 298593500								جابر, محمد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار باب الواد	2011		Jerusalem		Palestine			info@babelwad.com	https://babelwad.com/								Set up to commmemorate martyr الحلبي, سليمان			
	دار بيت المقدس للنشر	1999		Nablus		Palestine		00 970 2940843								داود, إبراهيم			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started. Alternative phone number :00 970  02 2987808	
	دار بيرزيت	1995		Ramallah		Palestine										علوش, موسى			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار جيل للنشر	2008		Ramallah		Palestine		00 970 2951262											http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار خطى للنشر	2016		Gaza		Palestine	Gaza City, Al Sina'a crossing, Almotaz 3 Building.	00 970 597 888 638		https://www.facebook.com/khotabook/											
	دار خليل الوزير للطباعة والنشر	1999		Ramallah		Palestine													http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار راية للنشر والترجمة			Haifa		Israel	Masada Street 30, Haifa		raya.publication@gmail.com	https://www.facebook.com/pages/category/Bookstore/Dar-RayaBookstore-Cafe-Publishing-House-1038319829519081/											
	دار روز اليوسف			Cairo		Egypt															
	دار سعاد الصباح			Safat		Kuwait															
	دار صادر			Damascus		Syria															
	دار طبريا			Amman		Jordan															
	دار عكا للنشر والتوزيع			Acre		Israel															
	دار علوش للنشر			Bir Zeit		Palestine												https://www.jec.ps/store/index.php?route=product/manufacturer/info&manufacturer_id=84			
	دار عمار للنشر			Amman		Jordan															
	دار غراب للنشر والتوزيع			Cairo		Egypt															
	دار فلسطين			Damascus		Syria															
	دار كلمات للنشر والتوزيع					Kuwait															
	دار مؤسسة فلسطين للثقافة			Damascus		Syria															
	دار مالك للنشر والتوزيع	1997		Gaza		Palestine		00 970 0864750								التالوتي, عبد المالك			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار مجدلاوى للنشر والتوزيع			Amman		Jordan															
	دار مكتبة الحياة للطباعة والنشر			Beirut		Lebanon															
	دار وائل للنشر	1996		Al-Bira		Palestine		00 970 2982135								أبو غربية, داود			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دار يارا للنشر	2005		Ramallah		Palestine		00 970 2404225								القبج, سامح			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دارالمعارف			Cairo		Egypt															
	دارة الزيتونة للنشر والتوزيع	1997		Qalqilya		Palestine										علي, أحمد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	دير بير يعقوب			Nablus		Palestine															
	رابطة الأدباء في الكويت			Kuwait City		Kuwait															
	رابطة التشكيليين الفلسطينين			Ramallah		Palestine															
	رابطة الكتاب الأردنيين			Amman		Jordan															
	رابطة الكتاب والادباء الفلسطينين			Nazareth		Palestine		00 970 0599 785065	authors.ps@gmail.com	https://www.facebook.com/authorsps/											
	رابطة المغتربين اللبانيين في المانيا			Berlin		Germany															
	روائع مجدلاوي			Amman		Jordan															
	رياض الريس الكتب والنشر			Beirut		Lebanon															
	سكاي للتوزيع	2006		Al-Bira		Palestine		00 970 2986879											http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	سمارات للطباعة			Nablus		Palestine															
	سمير منصور للنشر والتوزيع	2006		Gaza		Palestine		00 970  599 732 212  	samirmansour@live.com	https://www.facebook.com/samirmansourbookshop/						منصور, سمير			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	سهيل عيساوي للطباعة والنشر			Kafr Manda		Israel												https://www.c4wr.com/%D8%B5%D8%AF%D8%B1-%D8%AD%D8%AF%D9%8A%D8%AB%D8%A7-%D8%B9%D9%86-%D8%AF%D8%A7%D8%B1-%D8%B3%D9%87%D9%8A%D9%84-%D8%B9%D9%8A%D8%B3%D8%A7%D9%88%D9%8A-%D9%84%D9%84%D8%B7%D8%A8%D8%A7/			
	شبلاق	1996		Gaza		Palestine		00 970 0861382								شبلاق, رياض			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	شرق برس للدراسات والنشر	1997		Ramallah		Palestine		00 970 2987308								شبيب, سميح		https://www.alquds.co.uk/%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%AF-%D9%88%D8%A7%D9%84%D9%82%D8%B6%D9%8A%D8%A9-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9/	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	شركة أبو الهول	1996		Gaza		Palestine		00 970 0820269								الغرابلي, محمود			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	شركة الريس	1996		Nablus		Palestine		00 970 2374941											http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	شركة العودة للنشر والتوزيع	2004		Ramallah		Palestine		00 970 2409454								القلقيلي, عبد الفتاح			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	شركة النشر المتطور	1996		Ramallah		Palestine		00 970 2985978		http://www.sharbain.com/						عبد الهادي, سميرة			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	شركة دار الأرقم	1996		Ramallah		Palestine										عواد, ذياب, يوسف			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	شركة دويدار	1996		Gaza		Palestine		00 970 0868388								دويدار, عبد الله			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	شركة رام الله الحديثة	2003		Ramallah		Palestine		00 970 2954731											http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	شركة مكتبة شاربين			Jerusalem		Palestine	القدس. شارع صلاح الدين، باب الزاهرة	00 972 02 6286775										https://kstna.com/business/sharbain-co/jerusalem-downtown		Own webpage up but not running - April 2020.	
	شركة مكتبة شاربين			Ramallah		Palestine				http://www.sharbain.com/										Own webpage up but not running - April 2020.	
	شمس			Baqa Al-Gharbiyya		Israel															
	صبح	1996		Rafah		Palestine		00 970 0835674 								صبح, روحي			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	طباق للنشر والتوزيع			Al-Bira		Palestine		00 970 568 926 677		https://www.facebook.com/pages/category/Publisher/%D8%B7%D9%90%D8%A8%D8%A7%D9%82-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-Tibaq-publishing-house--308578379551499/								https://www.arab48.com/%D8%A8%D8%AD%D8%AB?searchText=%D8%AF%D8%A7%D8%B1%20%D8%B7%D8%A8%D8%A7%D9%82%20%D9%84%D9%84%D9%86%D8%B4%D8%B1%20%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9		Publishes on wide range of qadiya filastini issues https://pulpit.alwatanvoice.com/articles/2018/07/31/469749.html	
	طلائع حرب التحرير الشعبية (الصاعقة)			Tunis		Tunisia															
	طلائع حرب التحرير الشعبية (الصاعقة)			Damascus		Syria															
	عالم الكتب للطباعة والنشر والتوزيع			Beirut		Lebanon															
	عالم الكتب للطباعة والنشر والتوزيع			Cairo		Egypt															
	عربسك			Haifa		Israel												https://www.albayan.ae/five-senses/2005-10-04-1.104703			
	غرافيك 21	1996		Al-Bira		Palestine		00 970 52592085								الدويك, وائل			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	غرناطة للنشر والتوزيع	1997		Gaza		Palestine		00 970 0826829								الهبيل, عبد الرحيم			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	فلسطين الثورة			Beirut		Lebanon															
	فلسطين للطباعة والنشر	2000		Deir Al Balah		Palestine		00 970 2437337								أبو الرب, عمر		https://yellowpages.com.ps/companies/6374-%D8%B4%D8%B1%D9%83%D8%A9-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86-%D9%84%D9%84%D8%B7%D8%A8%D8%A7%D8%B9%D8%A9-%D9%88%D8%A7%D9%84%D9%86%D8%B4%D8%B1	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	قوات العاصفة			Damascus		Syria															
	كان ياما كان	2002		Ramallah		Palestine		00 970 2981165								مصلح, روز		http://safa.ps/post/214965/%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D9%81%D8%B9%D8%A7%D9%84%D9%8A%D8%A7%D8%AA-%D9%85%D8%A8%D8%A7%D8%AF%D8%B1%D8%A9-%D9%83%D8%A7%D9%86-%D9%8A%D8%A7%D9%85%D8%A7-%D9%83%D8%A7%D9%86-%D8%A8%D8%B1%D8%A7%D9%85-%D8%A7%D9%84%D9%84%D9%87	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	كرمل ميديا			Daliyat Al-Karmil		Israel															
	كلية القاسمي			Baqa Al-Gharbiyya		Israel			majmaa.qsm@gmail.com	http://www.eduqasemi.com/											
	الهيئة المصرية العامة للكتاب			Cairo		Egypt															
	ليبرتي بوكس			Jerusalem		Palestine															
	مؤسسة الأيام للصحافة والطباعة والنشر والتوزيع	1995		Ramallah		Palestine		00 970 0-2987341	print@al-ayyam.ps	https://www.al-ayyam.ps/						هنية, اكرم	الضامن, غسان	http://info.wafa.ps/ar_page.aspx?id=5123			
	مؤسسة الاسوار الثقافية			Acre		Israel				https://www.facebook.com/620373377997959/posts/2081265305242085/						حجازي, يعقوب					
	مؤسسة الانوار			Acre		Israel															
	مؤسسة البلاد للصحافة والنشر			Jerusalem		Palestine															
	مؤسسة البيادر الصحفية			Jerusalem		Palestine															
	مؤسسة البيت الفلسطيني للصحافة والإعلام 			Ottawa		Canada															
	مؤسسة التشرين			Damascus		Syria															
	مؤسسة التعاون	1983		Ramallah		Palestine	رام الله، المصيون، عمارة باديكو هاوس، الطابق السادس ص.ب 658، رام الله	00 970 2 241-5130	info@taawon.org	https://www.taawon.org/											
	مؤسسة الثقافة الفلسطينية			Acre		Israel															
	مؤسسة الجمعية العلمة الفلسطينية			Nablus		Palestine															
	مؤسسة الحق	1979		Ramallah		Palestine	54 الشارع الرئيسي، الطابق الثاني، قاعة البروتستانت - رام الله، فلسطين	00 970 2 295 46 46	info@alhaq.org	http://www.alhaq.org/ar						زريق, قسطنطين				Publications relate to Palestinian detainees and rights	
	مؤسسة الدراسات الفلسطينية			Ramallah		Palestine	رام الله, 19 شارع إميل حبيبي - الماصيون	00 970 2 2989108	ipsquds@palestine-studies.org	https://www.palestine-studies.org/ar/library/about											
	مؤسسة الدراسات الفلسطينية			Beirut		Lebanon	Anis Nsouli Street	(+961) 1 868387	ipsbeirut@palestine-studies.org	https://www.palestine-studies.org/ar/library/about											
	مؤسسة الدراسات المقدسية			Jerusalem		Palestine	جامعة القدس -  4باب الملك فيصل، البلدة القديمة 	00 972 2 6287517		https://jerusalem-studies.alquds.edu/ar											
	مؤسسة الديار للطباعة والنشر			Nicosia		Cyprus															
	مؤسسة الصمود العربي للطباعة والنشر			Nicosia		Cyprus															
	مؤسسة العنقاء للتجديد والابداع			Ramallah		Palestine	شارع الشهيد احمد حبش، مقابل وزارة التربية والتعليم	00 970 2 2953512										https://kstna.com/business/anqa-association-for-innovation-creation			
	مؤسسة الكرمل الثقافية			Ramallah		Palestine										درويش, أحمد					
	مؤسسة المتوكل للإبداع	2011		Ramallah		Palestine		00 970 0599448822								طه, المتوكل			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	مؤسسة الناشر للدعاية والاعلان	1990		Al-Bira		Palestine	ص.ب. 3734 البيرة	00 970 2 2961911		https://www.enasher.com/ar/dar-al-nasher											
	مؤسسة الوعي للنشر	2003		Al-Ram		Palestine	ط. 1,ع. القصراوي,ش. المحافظه,بالقرب من المحافظه, الرام,	00 970 059398267								جبرين, عامر		https://yellowpages.com.ps/companies/29213-%D9%85%D8%A4%D8%B3%D8%B3%D8%A9-%D8%A7%D9%84%D9%88%D8%B9%D9%8A-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	مؤسسة اليرموك للثقافة والاعلام			Ramallah		Palestine												http://www.ramallah.noursoft.com/catalog/searchresult1.aspx?MotherForm=Author&Content=%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85%D8%8C%20%D8%AF%D8%A7%D9%88%D8%AF&AuthorityID=27836&AuthorityName=%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85%D8%8C%20%D8%AF%D8%A7%D9%88%D8%AF&LibID=			
	مؤسسة بيسان للصحافة و النشر و التوزيع			Nicosia		Cyprus															
	مؤسسة تامر للتعليم المجتمعي			Ramallah		Palestine	رام الله – شارع النزهة، مقابل مكتبة بلدية رام الله	00 970 2 02298612	tamer@palnet.com	https://www.tamerinst.org/ar/											
